,graph,order,freq,pred_average_power,pred_total_time,,,power,time
9,YOLOv3,LLBLLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNBBLBLBLNLLLNLLBLLBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (1,), (0,), (1,), (0,), (1,), (0,), (0,), (7,), (3,), (0,), (2,), (7,), (4,), (2,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (4,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3657.8028784489,6782.94133270595,,,3.6578028784489,6.78294133270595
5,YOLOv3,LLBLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNBBLBLBLNLLLNLLBLLBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (1,), (0,), (0,), (0,), (1,), (0,), (0,), (7,), (3,), (0,), (2,), (7,), (4,), (1,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (3,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3663.14722669779,6609.17300757183,,,3.66314722669779,6.60917300757183
69,YOLOv3,LLBLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNBBLBLBLNLLLNLLBLLBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (1,), (0,), (0,), (0,), (1,), (0,), (0,), (7,), (3,), (0,), (2,), (7,), (4,), (1,), (0,), (0,), (0,), (0,), (1,), (7,), (7,), (3,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3663.30305411649,6470.25768134145,,,3.66330305411649,6.47025768134145
48,YOLOv3,LLBLLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLBNNLNLNLLBNLBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (3,), (0,), (1,), (0,), (1,), (0,), (7,), (7,), (3,), (7,), (2,), (7,), (4,), (2,), (0,), (7,), (0,), (0,), (0,), (7,), (7,), (4,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3671.57786959012,6463.69659317191,,,3.67157786959012,6.46369659317191
24,YOLOv3,LLBLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLBNNLNLNLLBNLBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (0,), (0,), (0,), (0,), (2,), (0,), (7,), (7,), (3,), (7,), (2,), (7,), (4,), (2,), (0,), (7,), (0,), (0,), (0,), (7,), (7,), (4,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3675.85085915123,6307.54583795862,,,3.67585085915123,6.30754583795862
31,YOLOv3,LLBLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLBNNLNLNLLBNNBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (0,), (0,), (0,), (0,), (1,), (0,), (7,), (7,), (3,), (7,), (2,), (7,), (3,), (2,), (0,), (7,), (7,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3677.81479790952,6231.75109191673,,,3.67781479790952,6.23175109191673
44,YOLOv3,LLBLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLNNNLNLNLLBLLBBNNLBLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (0,), (0,), (0,), (0,), (2,), (7,), (7,), (7,), (3,), (7,), (2,), (7,), (4,), (1,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (3,), (1,), (0,), (0,), (7,), (7,), (7,), (0,))",3685.80040051046,6106.34772587305,,,3.68580040051046,6.10634772587305
3,YOLOv3,LLBLLLLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLNNNLNLNLLBNNBBNNLLLBNNNL,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (1,), (0,), (1,), (0,), (2,), (7,), (7,), (7,), (3,), (7,), (2,), (7,), (3,), (2,), (0,), (7,), (7,), (0,), (0,), (7,), (7,), (3,), (0,), (0,), (0,), (7,), (7,), (7,), (0,))",3689.62919697666,6059.5962708846,,,3.68962919697666,6.0595962708846
4,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLBNNLNLNLLBLLBBNNLBLBNNLL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (0,), (0,), (1,), (0,), (1,), (0,), (7,), (7,), (3,), (7,), (2,), (7,), (4,), (1,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (3,), (0,), (0,), (1,), (7,), (7,), (0,), (0,))",3695.00403871943,5477.58942645881,,,3.69500403871943,5.47758942645881
78,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLBLBNNLNLNLLBLLBBNNLBLBNNLL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (1,), (0,), (1,), (0,), (2,), (0,), (7,), (7,), (3,), (7,), (2,), (7,), (4,), (5,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (3,), (0,), (0,), (1,), (7,), (7,), (0,), (0,))",3699.1435750138,5449.02192541988,,,3.6991435750138,5.44902192541988
