pred_total_time,pred_average_power
12913.960737940013,3529.9503355860093
9813.868453764047,3560.995958512038
9167.163223885327,3712.7042677090976
8894.037532581688,3659.27696507884
8047.003458946118,3947.4961537737063
8555.29652727263,3809.1691576159938
15243.292987940002,3480.798101616233
10965.91620302429,3572.2129172265454
10289.213602701038,3759.0764093138914
9592.601199412344,3692.6430172722366
8759.872562434097,4024.850092290358
9058.452331196082,3859.2981064358555
8035.587432441486,4427.6199512665435
8776.690130411711,4126.0749716105265
17709.73632034735,3688.555840918904
11690.166179570897,3768.607632043538
11668.240151046599,3955.2005957151705
9787.528769481703,3911.2184373920727
8787.64626617774,4611.414729653471
