Time,Power
17591.943249,3953.7449076833077
986.1781377600001,3389.296183635823
8030.756256,4674.215177642289
986.1781377600001,3389.296183635823
3553.794513,6918.383884945758
986.1781377600001,3389.296183635823
11429.272917,3773.7090965894376
986.1781377600001,3389.296183635823
7292.396746000001,4243.867229648697
986.1781377600001,3389.296183635823
5572.478333000001,5015.416772773636
986.1781377600001,3389.296183635823
4723.835175000002,6348.344832348117
986.1781377600001,3389.296183635823
19299.469528999998,3451.975170444711
986.1781377600001,3389.296183635823
15403.187896000003,3563.6138451067636
986.1781377600001,3389.296183635823
14973.123437999993,3678.908738851132
