graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
MobileV1,GGGGGGBBBBBBBB,BB,{{max}},10.6082,54.2555,0.257121,64.8637,3584.257455507456,5440.408667942701,38.02251993951419,295.1720924835652,0.9215878612175324,334.1162002842969,2.992970706446163,36.0414
MobileV1,BBBBBBBBBBBBBB,BB,{{max}},10.3821,59.1508,0.233643,69.5329,3836.574675324675,6562.541055415632,39.831701936688304,388.17955346067896,0.896388816866883,428.90764421423415,2.331504260857874,69.5329
MobileV1,GGGGGGGGGGGGGG,BB,{{max}},10.7567,67.3044,1.25566,78.0611,3275.090067340068,3673.575051601757,35.22916132735691,247.24776470302527,4.11239959395623,286.5893256243384,3.4893134900313805,78.0611
MobileV1,LLLLLLLLLLLLLL,BB,{{max}},29.8883,153.50169999999997,0.362308,183.39,2583.6599763872496,3455.435942528401,77.22120447225504,530.4152914192118,0.9360806787249116,608.5725765701918,1.6431893885784739,183.39
