,graph,order,freq,input_power,task_power,input_time,task_time,output_time,total_time,pipelinetime,threads_big,threads_little
0,ResV1_50,BBBBBBBBBBBBBBBBBB,{{max}},5486.65159531826,6891.08920546111,13.8042,342.3608,0.199413,356.165,356.165,5,4
0,ResV1_50,BBBBBBBBBBBBBBBBBB,{{max}},5506.23392656726,7186.91695813236,13.806,305.63,0.206184,319.436,319.436,6,4
0,ResV1_50,LLLLLLLLLLLLLLLLLL,{{max}},3737.24446479447,4035.66790160651,34.126,1058.604,0.292503,1092.73,1092.73,2,1
0,ResV1_50,LLLLLLLLLLLLLLLLLL,{{max}},3761.69074074074,4771.78159368809,34.0266,609.3804,0.289401,643.407,643.407,2,2
0,ResV1_50,LLLLLLLLLLLLLLLLLL,{{max}},3783.75691900692,5205.6091713013,34.0573,464.8717,0.284414,498.929,498.929,2,3
0,ResV1_50,LLLLLLLLLLLLLLLLLL,{{max}},3835.16904761905,5719.66480297101,34.1067,364.1533,0.290427,398.26,398.26,2,4
0,ResV1_50,LLLLLLLLLLLLLLLLLL,{{max}},3894.22537647538,7138.86425758192,34.1,304.769,0.290014,338.869,338.869,2,5
0,ResV1_50,LLLLLLLLLLLLLLLLLL,{{max}},4027.18463573464,8259.92771329563,34.0925,266.9735,0.291132,301.066,301.066,2,6
0,SqueezeV1,BBBBBBBBBB,{{max}},5201.52958152958,5438.11316667948,14.4446,167.0664,0.19373,181.511,181.511,1,4
0,SqueezeV1,BBBBBBBBBB,{{max}},5390.64502164502,6891.20969657003,14.4231,105.1349,0.199466,119.558,119.558,2,4
0,SqueezeV1,BBBBBBBBBB,{{max}},5160.71717171717,5754.17353744648,14.4464,139.5136,0.234811,153.96,153.96,3,4
0,SqueezeV1,BBBBBBBBBB,{{max}},5188.65800865801,6130.5028153071,14.4779,115.6141,0.226669,130.092,130.092,4,4
0,SqueezeV1,BBBBBBBBBB,{{max}},5283.50937950938,6368.23795365721,14.4674,101.5076,0.231768,115.975,115.975,5,4
0,SqueezeV1,BBBBBBBBBB,{{max}},5339.52669552669,6574.01210796869,14.4602,91.3688,0.226528,105.829,105.829,6,4
0,SqueezeV1,LLLLLLLLLL,{{max}},3670.04798534799,3945.62590921349,35.0241,294.0049,0.304116,329.029,329.029,2,1
0,SqueezeV1,LLLLLLLLLL,{{max}},3656.68317957762,4547.07924178993,34.8994,175.9016,0.300567,210.801,210.801,2,2
0,SqueezeV1,LLLLLLLLLL,{{max}},3773.90534527201,4984.72509224616,34.9436,136.8324,0.298244,171.776,171.776,2,3
0,SqueezeV1,LLLLLLLLLL,{{max}},3700.47825939493,5348.81802369023,34.9782,107.5418,0.307801,142.52,142.52,2,4
0,SqueezeV1,LLLLLLLLLL,{{max}},3820.41284312395,6466.87992733547,34.992,95.206,0.30292,130.198,130.198,2,5
0,SqueezeV1,LLLLLLLLLL,{{max}},3891.14179441957,7270.08586304897,34.9942,84.1718,0.308525,119.166,119.166,2,6
