,graph,order,freq,pred_average_power,pred_total_time
0,YOLOv3,LLLLBLLNNNNNNLLBLLLLLLLLLNNLBLLLLLBBBLBLLLNNLLLBLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((0,), (0,), (1,), (0,), (0,), (1,), (0,), (1,), (0,), (0,), (1,), (1,), (0,), (1,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (2,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (1,), (0,), (0,), (0,), (0,), (1,), (0,), (0,), (0,), (0,), (0,), (4,), (3,), (5,), (0,), (6,), (1,), (1,), (1,), (7,), (0,), (0,), (1,), (0,), (0,), (0,), (7,), (6,), (1,), (0,), (0,), (0,), (0,), (0,), (3,), (0,))",3541.235394322008,9968.803401616315
1,YOLOv3,LLLLLLLNNNNNLLLLLLLLLLLLNNNLLLLLLLLLLLLLLLNNLLLLLNNNNNNNLNLLLLLLLNNLLNNNLNN,"((5,), (5,), (4,), (5,), (5,), (5,), (4,), (6,), (1,), (0,), (6,), (6,), (5,), (4,), (5,), (5,), (4,), (5,), (5,), (4,), (5,), (4,), (5,), (4,), (6,), (3,), (6,), (3,), (5,), (5,), (5,), (4,), (5,), (5,), (4,), (4,), (5,), (4,), (4,), (5,), (5,), (5,), (7,), (5,), (5,), (4,), (4,), (5,), (4,), (5,), (5,), (3,), (4,), (6,), (7,), (6,), (4,), (6,), (0,), (3,), (5,), (4,), (4,), (5,), (5,), (7,), (7,), (4,), (5,), (7,), (0,), (6,), (5,), (6,), (7,))",4919.473205619624,3864.360437105347
2,YOLOv3,LLLLLLLNNNNNNLLBLLLLLLLLLNNLBLLLNLBBBLBLLNNNLLLBLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((1,), (1,), (2,), (1,), (1,), (0,), (1,), (1,), (0,), (0,), (1,), (1,), (0,), (1,), (0,), (0,), (1,), (1,), (0,), (1,), (1,), (0,), (0,), (0,), (1,), (2,), (0,), (0,), (0,), (0,), (1,), (2,), (3,), (1,), (0,), (0,), (0,), (1,), (0,), (1,), (1,), (4,), (1,), (1,), (1,), (1,), (0,), (0,), (0,), (2,), (4,), (1,), (4,), (0,), (4,), (1,), (1,), (2,), (6,), (0,), (1,), (1,), (0,), (0,), (1,), (7,), (6,), (1,), (0,), (2,), (0,), (0,), (0,), (2,), (0,))",3614.1150349629665,8110.216789674685
3,YOLOv3,LLLLLLLNNNNNLLLLLLLLLLLLNNNLLLLLLLLLLLLLLLNNLLLLLNNNNNNNLNLLLLLLLNNLLNNNLNN,"((5,), (5,), (4,), (4,), (4,), (5,), (4,), (6,), (0,), (0,), (5,), (5,), (5,), (4,), (5,), (4,), (4,), (4,), (5,), (4,), (5,), (5,), (5,), (4,), (6,), (3,), (4,), (3,), (5,), (5,), (4,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (4,), (4,), (5,), (5,), (6,), (3,), (4,), (4,), (4,), (5,), (3,), (5,), (5,), (3,), (4,), (6,), (4,), (4,), (4,), (7,), (1,), (3,), (5,), (4,), (4,), (4,), (5,), (7,), (7,), (2,), (5,), (7,), (3,), (6,), (5,), (4,), (4,))",4741.690374420548,3965.6249026913583
4,YOLOv3,LLLLLLLNNNNNNLLBLLLLLLLLLNNLBLLLNLBBBLBLLNNNLLLBLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((1,), (0,), (1,), (1,), (1,), (0,), (1,), (1,), (0,), (0,), (1,), (1,), (1,), (0,), (0,), (0,), (1,), (0,), (0,), (1,), (0,), (0,), (2,), (0,), (0,), (2,), (0,), (0,), (0,), (0,), (0,), (0,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (1,), (0,), (3,), (0,), (0,), (1,), (0,), (0,), (0,), (0,), (0,), (4,), (3,), (5,), (0,), (6,), (2,), (1,), (1,), (7,), (0,), (1,), (1,), (0,), (0,), (0,), (7,), (6,), (1,), (0,), (2,), (0,), (0,), (0,), (2,), (0,))",3585.5782745039537,8680.994255047195
5,YOLOv3,LLLLLLLNNNNNNLLLLLLLLLLLLNNLLLLLLLLLLLLLLNNNLLLLLNNNNNNNLNLLLLLLLNNLLNNNLNN,"((5,), (4,), (4,), (5,), (4,), (4,), (4,), (6,), (0,), (0,), (3,), (3,), (4,), (4,), (5,), (4,), (4,), (4,), (5,), (4,), (3,), (4,), (5,), (4,), (1,), (5,), (3,), (3,), (5,), (4,), (5,), (5,), (4,), (5,), (4,), (4,), (5,), (4,), (4,), (5,), (3,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (4,), (4,), (5,), (3,), (4,), (1,), (6,), (6,), (4,), (6,), (3,), (3,), (2,), (4,), (4,), (2,), (5,), (5,), (7,), (4,), (3,), (6,), (0,), (3,), (5,), (5,), (7,))",4636.964049534031,4047.0220634295515
6,YOLOv3,LLLLBLLNNNNNNLLBLLLLLLLLLNNLBLLLNLBBBLBLLLNNLLLBLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((0,), (0,), (1,), (0,), (0,), (1,), (0,), (1,), (0,), (0,), (1,), (1,), (0,), (0,), (0,), (0,), (0,), (1,), (0,), (0,), (1,), (0,), (0,), (1,), (0,), (2,), (0,), (0,), (0,), (1,), (0,), (0,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (1,), (0,), (0,), (0,), (0,), (1,), (0,), (0,), (0,), (0,), (0,), (6,), (3,), (5,), (0,), (6,), (1,), (1,), (1,), (7,), (1,), (0,), (1,), (0,), (0,), (0,), (7,), (6,), (1,), (1,), (0,), (0,), (0,), (0,), (2,), (0,))",3546.0475173115888,9779.117039341805
7,YOLOv3,LLLLLLLNNNNNNLLLLLLLLLLLLNNLLLLLLLLLLLLLLNNNLLLLLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((4,), (2,), (3,), (2,), (2,), (4,), (4,), (4,), (0,), (0,), (3,), (3,), (3,), (2,), (2,), (2,), (1,), (2,), (3,), (3,), (3,), (3,), (4,), (2,), (1,), (3,), (3,), (2,), (3,), (4,), (2,), (3,), (2,), (3,), (2,), (4,), (3,), (3,), (3,), (1,), (3,), (5,), (1,), (1,), (3,), (4,), (2,), (3,), (2,), (4,), (4,), (1,), (4,), (0,), (6,), (2,), (2,), (4,), (5,), (1,), (2,), (3,), (4,), (2,), (2,), (5,), (6,), (4,), (3,), (3,), (0,), (3,), (2,), (3,), (3,))",4112.158034781595,4838.8715818883675
8,YOLOv3,LLLLLLLNNNNNNLLLLLLLLLLLLNNLLLLLLLLLLLLLLNNNLLLLLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((4,), (2,), (3,), (4,), (2,), (4,), (4,), (4,), (0,), (0,), (2,), (1,), (3,), (4,), (4,), (3,), (4,), (2,), (3,), (3,), (3,), (3,), (4,), (2,), (1,), (3,), (3,), (2,), (3,), (4,), (3,), (3,), (3,), (2,), (2,), (4,), (3,), (3,), (3,), (4,), (3,), (5,), (1,), (1,), (3,), (3,), (2,), (3,), (2,), (4,), (6,), (1,), (4,), (0,), (7,), (2,), (4,), (6,), (5,), (3,), (2,), (3,), (4,), (3,), (5,), (7,), (6,), (4,), (3,), (3,), (0,), (3,), (4,), (3,), (3,))",4195.802852956178,4635.934076327376
9,YOLOv3,LLLLLLLNNNNNNLLLLLLLLLLLLNNLLLLLLLLLLLLLLNNNLLLLLNNNNNNNLNNLLLLLLNNLLNNNLNN,"((4,), (1,), (2,), (2,), (2,), (4,), (2,), (3,), (0,), (0,), (3,), (3,), (3,), (2,), (2,), (2,), (2,), (2,), (1,), (2,), (3,), (3,), (2,), (2,), (1,), (3,), (3,), (2,), (3,), (1,), (1,), (2,), (2,), (2,), (2,), (3,), (3,), (1,), (1,), (1,), (2,), (4,), (1,), (1,), (3,), (3,), (2,), (1,), (2,), (2,), (5,), (1,), (4,), (0,), (6,), (2,), (1,), (4,), (7,), (2,), (2,), (1,), (4,), (2,), (2,), (5,), (6,), (1,), (3,), (3,), (0,), (3,), (2,), (3,), (3,))",3979.6945120511436,5284.061236651839
