10,YOLOv3_64.7.csv,64.7,74.257,,,64.7,1.543
1,YOLOv3_64.9.csv,64.9,73.022,,,64.9,1.517
16,YOLOv3_65.1.csv,65.1,71.939,,,65.1,1.495
20,YOLOv3_65.3.csv,65.3,70.816,,,65.3,1.471
15,YOLOv3_65.5.csv,65.5,70.811,,,65.5,1.471
19,YOLOv3_65.7.csv,65.7,70.700,,,65.7,1.469
6,YOLOv3_65.9.csv,65.9,70.684,,,65.9,1.469
3,YOLOv3_66.1.csv,66.1,70.341,,,66.1,1.462
14,YOLOv3_66.3.csv,66.3,70.274,,,66.3,1.460
18,YOLOv3_66.5.csv,66.5,69.785,,,66.5,1.450
17,YOLOv3_66.7.csv,66.7,68.642,,,66.7,1.426
8,YOLOv3_66.9.csv,66.9,68.379,,,66.9,1.421
0,YOLOv3_67.1.csv,67.1,68.008,,,67.1,1.413
11,YOLOv3_67.3.csv,67.3,67.580,,,67.3,1.404
2,YOLOv3_67.5.csv,67.5,66.564,,,67.5,1.383
5,YOLOv3_67.7.csv,67.7,65.883,,,67.7,1.369
9,YOLOv3_67.9.csv,67.9,63.389,,,67.9,1.317
7,YOLOv3_68.1.csv,68.1,62.819,,,68.1,1.305
21,YOLOv3_68.3.csv,68.3,60.651,,,68.3,1.260
13,YOLOv3_68.5.csv,68.5,58.386,,,68.5,1.213
4,YOLOv3_68.7.csv,68.7,57.828,,,68.7,1.202
12,YOLOv3_68.77.csv,68.77,56.817,,,68.77,1.181
,Filename,accuracy,HV,,,acc,norm HV
