pred_total_time,pred_average_power
332.61544885,3283.693596953007
411.4792097730575,3314.996419269517
284.27971697123894,3328.693109154775
319.8313356664453,3456.367135057357
270.4440417411615,3366.113828849527
288.03301037831113,3646.4348644979555
330.57610685000003,3315.4195431911016
392.94468677132187,3431.7907962991885
288.6579439038643,3359.8371162683866
315.337120876764,3581.1251857800767
276.72183612702224,3396.957010694205
279.28952220150086,3735.814799124208
271.940517788913,3463.183664771255
262.4371291455877,4009.4761088284595
363.8882572399158,3409.7125092411316
399.4303939104647,3646.0209474189883
308.5960292055967,3451.1085465934434
318.8328203176207,3818.1977845335805
291.9981415119608,3548.4061360399287
