Unnamed: 0,graph,order,freq,predict_total_time,predict_average_power,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
79,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((4,), (1,), (1,), (2,), (2,), (4,), (2,), (4,), (2,), (2,), (2,), (2,), (4,), (2,), (4,), (3,), (3,), (2,), (3,), (2,), (4,), (2,), (3,), (3,), (1,), (0,), (1,), (2,), (1,), (3,), (3,), (3,), (1,), (3,), (2,), (3,), (2,), (2,), (3,), (1,), (3,), (3,), (3,), (1,), (1,), (3,), (3,), (2,), (2,), (4,), (4,), (3,), (3,), (2,), (3,), (1,), (2,), (1,), (2,), (3,), (2,), (1,), (1,), (1,), (2,), (0,), (3,), (4,), (2,), (1,), (1,), (3,), (2,), (4,), (3,))",6484.84118513634,4121.33207628291,359.571,6603.816,6963.387,3213.4230725487546,4144.01558466598,1155.4537476194282,27366.316422266555,28521.770169885986
80,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((4,), (3,), (4,), (2,), (4,), (4,), (4,), (5,), (4,), (3,), (2,), (4,), (5,), (3,), (4,), (4,), (4,), (3,), (2,), (4,), (4,), (3,), (3,), (4,), (4,), (4,), (3,), (4,), (4,), (4,), (4,), (3,), (4,), (4,), (2,), (3,), (3,), (3,), (3,), (5,), (4,), (5,), (4,), (3,), (3,), (3,), (5,), (4,), (4,), (3,), (3,), (3,), (5,), (3,), (4,), (4,), (2,), (3,), (5,), (4,), (5,), (4,), (1,), (5,), (5,), (0,), (4,), (5,), (4,), (3,), (4,), (4,), (4,), (4,), (5,))",5043.70870320854,4671.71514072473,256.256,4925.527999999999,5181.784,3406.9354217784926,4775.9413408540695,873.0476434432693,23524.032800734258,24397.080444177525
81,YOLOv3,LBNNNBLLLBLLGLLLLLBNLLLBLBLLLLLLLLLLLBBLNLLLLLLBLBNLLBLBLLLGBLLLLNGLNBNBBBL,"((1,), (0,), (0,), (0,), (0,), (2,), (0,), (2,), (1,), (0,), (0,), (0,), (0, 7), (0,), (3,), (1,), (3,), (1,), (0,), (0,), (1,), (0,), (1,), (0,), (1,), (0,), (1,), (1,), (3,), (3,), (1,), (0,), (0,), (1,), (2,), (3,), (0,), (0,), (0,), (0,), (0,), (4,), (0,), (1,), (1,), (0,), (1,), (0,), (2,), (0,), (0,), (1,), (0,), (0,), (1,), (1,), (0,), (0,), (2,), (0, 7), (0,), (0,), (1,), (0,), (2,), (0,), (1, 7), (1,), (0,), (0,), (0,), (0,), (0,), (0,), (1,))",13114.3220559882,3549.71436058624,603.924,14300.2029,14904.1269,3061.058230798737,3552.1684977674367,1848.6465309768964,50796.73025306255,52645.37678403944
82,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((4,), (1,), (1,), (2,), (2,), (4,), (2,), (4,), (2,), (2,), (2,), (2,), (4,), (2,), (4,), (3,), (3,), (2,), (3,), (2,), (4,), (2,), (3,), (3,), (1,), (0,), (1,), (2,), (1,), (2,), (3,), (3,), (2,), (3,), (2,), (3,), (2,), (2,), (3,), (1,), (3,), (3,), (3,), (1,), (1,), (3,), (3,), (2,), (2,), (4,), (4,), (3,), (3,), (2,), (3,), (1,), (2,), (1,), (2,), (3,), (2,), (2,), (1,), (1,), (2,), (0,), (3,), (4,), (2,), (1,), (1,), (3,), (2,), (4,), (3,))",6429.05850822913,4132.14342724405,359.446,6592.356,6951.802,3250.0187602449582,4169.166413565721,1168.2062432950092,27484.62922146846,28652.83546476347
83,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((4,), (2,), (1,), (4,), (2,), (5,), (2,), (2,), (2,), (2,), (2,), (1,), (5,), (3,), (4,), (3,), (3,), (0,), (2,), (2,), (4,), (2,), (3,), (3,), (1,), (1,), (3,), (4,), (3,), (3,), (3,), (3,), (4,), (3,), (3,), (3,), (2,), (2,), (2,), (1,), (3,), (4,), (3,), (3,), (3,), (3,), (3,), (2,), (2,), (4,), (3,), (3,), (2,), (2,), (1,), (2,), (1,), (3,), (3,), (4,), (2,), (1,), (1,), (1,), (2,), (0,), (1,), (4,), (2,), (2,), (4,), (2,), (4,), (4,), (2,))",5971.60852766606,4263.14241243567,443.831,6132.962,6576.793000000001,3148.9701614886053,4293.297312449854,1397.6105757436492,26330.629271957085,27728.239847700734
84,YOLOv3,LLNNNLLLLLLLLLLLLLLLLLLBLLLLLLLLLLLLLBBLNLLLLLLBLBNLLLLLLLLLBLLLLNLLLLLBBBL,"((1,), (1,), (0,), (0,), (0,), (2,), (2,), (4,), (1,), (1,), (0,), (2,), (3,), (1,), (2,), (1,), (4,), (2,), (3,), (2,), (1,), (1,), (2,), (1,), (1,), (0,), (1,), (2,), (2,), (3,), (1,), (3,), (1,), (3,), (2,), (0,), (2,), (1,), (0,), (0,), (0,), (4,), (1,), (1,), (0,), (0,), (3,), (0,), (2,), (0,), (0,), (2,), (1,), (1,), (2,), (0,), (1,), (1,), (3,), (1,), (0,), (1,), (1,), (0,), (2,), (0,), (1,), (0,), (0,), (1,), (1,), (0,), (1,), (1,), (0,))",9679.17787555646,3696.15651495837,604.07,10443.9804,11048.0504,3063.0195676334915,3681.08147822648,1850.278230220364,38445.14280940038,40295.42103962074
85,YOLOv3,LLNNNBLLLBLLLLLLLLLLLLLBLBLLLLLLLLLLLBBLNLLLLLLBLBNLLBLLLLLBBLLLLNLLLBLBBBL,"((1,), (0,), (0,), (0,), (0,), (1,), (0,), (2,), (1,), (0,), (0,), (0,), (2,), (0,), (3,), (0,), (3,), (0,), (1,), (1,), (1,), (1,), (3,), (0,), (1,), (0,), (1,), (2,), (2,), (3,), (1,), (3,), (1,), (0,), (2,), (3,), (0,), (0,), (0,), (0,), (0,), (2,), (0,), (1,), (1,), (0,), (3,), (0,), (2,), (0,), (0,), (2,), (0,), (0,), (2,), (0,), (0,), (0,), (3,), (0,), (0,), (0,), (1,), (1,), (3,), (0,), (1,), (1,), (0,), (0,), (0,), (0,), (0,), (0,), (2,))",11667.6894938197,3594.18139633023,604.119,12542.654899999996,13146.773899999997,3074.01319426003,3598.838764284087,1857.069776903176,45138.99266115773,46996.06243806091
86,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((5,), (5,), (4,), (4,), (4,), (5,), (4,), (5,), (5,), (4,), (1,), (4,), (5,), (4,), (4,), (4,), (4,), (3,), (2,), (4,), (5,), (3,), (3,), (4,), (4,), (5,), (4,), (5,), (4,), (5,), (4,), (3,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (5,), (4,), (4,), (4,), (4,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (4,), (5,), (3,), (4,), (5,), (4,), (5,), (5,), (4,), (5,), (4,), (4,), (5,), (5,), (0,), (4,), (2,), (4,), (3,), (4,), (4,), (4,), (4,), (5,))",4628.74161948309,5004.22127749061,256.286,4582.858,4839.144,3418.833798837896,5084.943088369748,876.199238968969,23303.572112080008,24179.771351048978
87,YOLOv3,LLNNNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLBLNLLLLLLLLBNLLLLLLLLLLLLLLNLLLLLLBLL,"((4,), (1,), (0,), (0,), (0,), (3,), (2,), (3,), (2,), (1,), (1,), (1,), (3,), (1,), (2,), (3,), (4,), (0,), (3,), (2,), (4,), (1,), (3,), (2,), (1,), (0,), (1,), (2,), (2,), (3,), (2,), (3,), (1,), (3,), (2,), (4,), (2,), (3,), (0,), (0,), (0,), (5,), (3,), (1,), (0,), (3,), (4,), (2,), (2,), (0,), (0,), (2,), (1,), (1,), (1,), (2,), (2,), (3,), (4,), (3,), (2,), (1,), (1,), (0,), (3,), (0,), (1,), (4,), (1,), (2,), (1,), (3,), (1,), (3,), (3,))",7967.59537547772,3862.94335278662,302.268,8832.038700000001,9134.3067,3276.884232148427,3787.797412625978,990.4972430830406,33453.97333607251,34444.470579155546
88,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((4,), (3,), (3,), (4,), (2,), (5,), (2,), (2,), (4,), (2,), (2,), (4,), (5,), (3,), (4,), (3,), (3,), (2,), (3,), (4,), (4,), (3,), (4,), (4,), (1,), (1,), (3,), (4,), (4,), (3,), (4,), (3,), (4,), (3,), (2,), (3,), (3,), (3,), (2,), (1,), (3,), (4,), (4,), (3,), (3,), (3,), (3,), (2,), (2,), (4,), (3,), (3,), (5,), (3,), (3,), (2,), (1,), (3,), (5,), (4,), (3,), (4,), (1,), (4,), (2,), (0,), (1,), (3,), (2,), (3,), (4,), (3,), (4,), (4,), (2,))",5445.32480504827,4448.56779225611,443.963,5592.111,6036.074,3182.430735958054,4494.14711910858,1412.8814968281456,25131.7695403854,26544.651037213545
