Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
ResV1_50,G,max,max,12,task,16.8079,3391.2434882037155
ResV1_50,G,max,max,13,task,9.7515,3124.053391053391
ResV1_50,G,max,max,14,task,41.8001,3669.309459021329
ResV1_50,G,max,max,15,task,32.0899,3626.12578495286
ResV1_50,G,max,max,16,task,28.7757,3576.833481264636
ResV1_50,G,max,max,17,task,2.1286,2974.409817045987
ResV1_50,G,max,max,17,out,0.354405,
ResV1_50,L,max,max,0,in,30.3824,2401.773288439955
ResV1_50,L,max,max,0,task,41.901,2929.9994839405226
ResV1_50,L,max,max,1,task,44.0324,3153.399800202632
ResV1_50,L,max,max,2,task,39.4001,3209.335413788561
ResV1_50,L,max,max,3,task,20.3005,3275.6427500353
ResV1_50,L,max,max,4,task,43.3525,3342.2892895696205
ResV1_50,L,max,max,5,task,30.0379,3400.102822382578
ResV1_50,L,max,max,6,task,29.837,3397.5433085433096
ResV1_50,L,max,max,7,task,17.3289,3438.827117327117
ResV1_50,L,max,max,8,task,47.2762,3452.964098253203
ResV1_50,L,max,max,9,task,36.0559,3430.3984816334714
ResV1_50,L,max,max,10,task,35.9702,3371.7968642979563
ResV1_50,L,max,max,11,task,37.2104,3342.6075535575537
ResV1_50,L,max,max,12,task,36.6347,3321.0237175138964
ResV1_50,L,max,max,13,task,17.5314,3355.2105734767038
ResV1_50,L,max,max,14,task,50.6374,3378.456703085275
ResV1_50,L,max,max,15,task,38.2151,3357.9866604920376
ResV1_50,L,max,max,16,task,40.047,3310.761221685441
ResV1_50,L,max,max,17,task,3.5194,3082.985387070038
ResV1_50,L,max,max,17,out,0.330582,
Alex,B,max,max,0,in,11.191,2956.199245199246
Alex,B,max,max,0,task,14.3059,5613.656926406927
Alex,B,max,max,1,task,16.4585,6702.317669704034
Alex,B,max,max,2,task,5.4128,4742.469916556873
Alex,B,max,max,3,task,4.7492,4382.486610288935
Alex,B,max,max,4,task,3.5391,3962.0161070161066
Alex,B,max,max,5,task,38.7786,4089.0687096344595
Alex,B,max,max,6,task,17.0881,3918.900140263776
Alex,B,max,max,7,task,4.2642,3156.3555556960036
Alex,B,max,max,7,out,0.181978,
Alex,G,max,max,0,in,11.4721,2515.9110283655737
Alex,G,max,max,0,task,10.0663,3143.3766941119884
Alex,G,max,max,1,task,14.9275,3174.509583998889
Alex,G,max,max,2,task,9.1494,3488.488776517936
Alex,G,max,max,3,task,5.7582,3304.789597271415
Alex,G,max,max,4,task,4.4644,3135.668918623464
Alex,G,max,max,5,task,35.7084,3024.098427672956
Alex,G,max,max,6,task,11.3736,2960.104184704185
Alex,G,max,max,7,task,6.7837,3209.7181876056206
Alex,G,max,max,7,out,0.358883,
Alex,L,max,max,0,in,31.081,2324.343423526332
Alex,L,max,max,0,task,33.0842,3203.8231801417637
Alex,L,max,max,1,task,44.8879,3408.4419203636653
Alex,L,max,max,2,task,16.1337,3158.93563736539
Alex,L,max,max,3,task,14.5392,3042.254651304808
Alex,L,max,max,4,task,11.4049,2974.8446443164235
Alex,L,max,max,5,task,59.9038,2933.2635352638226
Alex,L,max,max,6,task,25.5955,2793.6736745393173
Alex,L,max,max,7,task,6.269,2650.103805554089
Alex,L,max,max,7,out,0.346265,
MobileV1,B,max,max,0,in,10.8624,2918.83288933289
MobileV1,B,max,max,0,task,4.2839,4344.444444444444
MobileV1,B,max,max,1,task,9.2163,4473.675685425685
MobileV1,B,max,max,2,task,5.1497,4235.99494949495
MobileV1,B,max,max,3,task,7.1365,4987.361832611832
MobileV1,B,max,max,4,task,3.0043,3558.282828282828
MobileV1,B,max,max,5,task,4.7818,4406.085858585859
MobileV1,B,max,max,6,task,2.2935,2831.5151515151515
MobileV1,B,max,max,7,task,3.9219,4310.531024531024
MobileV1,B,max,max,8,task,4.2743,4455.194805194806
MobileV1,B,max,max,9,task,4.1137,4274.4105339105345
MobileV1,B,max,max,10,task,4.1091,4117.824675324675
MobileV1,B,max,max,11,task,4.6757,4320.284992784993
MobileV1,B,max,max,12,task,2.3955,2902.219564061669
MobileV1,B,max,max,13,task,5.7226,3366.2005828874776
MobileV1,B,max,max,13,out,0.183443,
MobileV1,G,max,max,0,in,10.7456,2765.5384337884348
MobileV1,G,max,max,0,task,2.9706,3210.0
MobileV1,G,max,max,1,task,5.7724,3107.959595959596
MobileV1,G,max,max,2,task,4.5295,3094.237373737374
MobileV1,G,max,max,3,task,6.1122,2981.3636363636365
MobileV1,G,max,max,4,task,3.3377,2718.9141414141413
MobileV1,G,max,max,5,task,4.8958,2913.7626262626263
MobileV1,G,max,max,6,task,4.0094,2793.787878787879
MobileV1,G,max,max,7,task,5.9017,2983.444444444445
MobileV1,G,max,max,8,task,5.62,2934.162337662338
MobileV1,G,max,max,9,task,6.3872,2971.060606060606
MobileV1,G,max,max,10,task,5.8921,2990.523809523809
MobileV1,G,max,max,11,task,6.2861,2865.787878787879
MobileV1,G,max,max,12,task,3.9873,2742.68829963412
MobileV1,G,max,max,13,task,7.6544,3041.5854750854755
MobileV1,G,max,max,13,out,0.407924,
MobileV1,L,max,max,0,in,29.8285,2347.397069724656
