,graph,order,freq,pred_average_power,pred_total_time,,,power,time
67,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLLLNNLLLBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (2,), (0,), (0,), (3,), (0,), (0,), (7,), (7,), (2,), (1,), (0,), (0,), (2,), (1,), (0,), (0,))",3721.88454000449,5361.49554282282,,,3.72188454000449,5.36149554282282
11,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLNLNBBNNBBLNNLLLBLLNNLBBBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (7,), (3,), (7,), (0,), (0,), (7,), (7,), (0,), (0,), (1,), (7,), (7,), (4,), (1,), (1,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3724.98300676247,5295.5605407529,,,3.72498300676247,5.2955605407529
37,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLBLLNNLLBBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (3,), (0,), (1,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3729.38439433654,5144.4467404878,,,3.72938439433654,5.1444467404878
64,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLBLLNNLLBBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (4,), (7,), (2,), (0,), (7,), (7,), (4,), (0,), (1,), (7,), (7,), (3,), (1,), (1,), (0,), (0,), (1,), (7,), (7,), (2,), (1,), (0,), (0,), (0,), (1,), (0,), (0,))",3743.29499968489,5054.75598016566,,,3.74329499968489,5.05475598016566
59,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLBLLNNLLBBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (4,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (4,), (1,), (1,), (0,), (0,), (0,), (7,), (7,), (2,), (1,), (1,), (0,), (0,), (1,), (0,), (0,))",3753.26046181248,5001.65530413974,,,3.75326046181248,5.00165530413974
82,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLNLNNLLBBLLBL,"((0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (4,), (0,), (1,), (3,), (7,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3766.38897969523,4986.80544862503,,,3.76638897969523,4.98680544862503
88,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLNLNNLLBBLLBL,"((0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (4,), (0,), (1,), (3,), (7,), (0,), (7,), (7,), (2,), (2,), (0,), (0,), (0,), (1,), (0,), (0,))",3772.11890728928,4946.13169027029,,,3.77211890728928,4.94613169027029
66,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLNLNNLLBBLLBL,"((0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (2,), (7,), (7,), (4,), (0,), (1,), (3,), (7,), (2,), (7,), (7,), (2,), (2,), (0,), (0,), (0,), (1,), (0,), (0,))",3776.97480898309,4915.37642762007,,,3.77697480898309,4.91537642762007
46,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLLLLNNLLLBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (2,), (1,), (0,), (5,), (0,), (0,), (7,), (7,), (2,), (1,), (0,), (1,), (2,), (1,), (0,), (1,))",3777.18676897551,4827.03406744273,,,3.77718676897551,4.82703406744273
31,YOLOv3,LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLLLBNNLBLNNLLLBLLNNLLLBLLBL,"((1,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (0,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (2,), (1,), (1,), (0,), (0,), (0,), (7,), (7,), (2,), (1,), (0,), (0,), (0,), (1,), (0,), (0,))",3785.52252906139,4780.97564963372,,,3.78552252906139,4.78097564963372
