10,YOLOv3_64.7.csv,64.7,74.1215855407893
1,YOLOv3_64.9.csv,64.9,74.1215855407893
16,YOLOv3_65.1.csv,65.1,74.1215855407893
20,YOLOv3_65.3.csv,65.3,74.1215855407893
15,YOLOv3_65.5.csv,65.5,63.0080345080963
19,YOLOv3_65.7.csv,65.7,60.2548516857014
6,YOLOv3_65.9.csv,65.9,55.1734838024639
3,YOLOv3_66.1.csv,66.1,51.7569993676316
14,YOLOv3_66.3.csv,66.3,52.2510624162946
18,YOLOv3_66.5.csv,66.5,56.0013241214704
17,YOLOv3_66.7.csv,66.7,52.678906380727
8,YOLOv3_66.9.csv,66.9,54.1796895564105
0,YOLOv3_67.1.csv,67.1,54.8007905471337
11,YOLOv3_67.3.csv,67.3,52.6735169208275
2,YOLOv3_67.5.csv,67.5,52.0326831275149
5,YOLOv3_67.7.csv,67.7,52.5101882595897
9,YOLOv3_67.9.csv,67.9,52.2615529544791
7,YOLOv3_68.1.csv,68.1,51.1585155736383
21,YOLOv3_68.3.csv,68.3,52.5997789237677
13,YOLOv3_68.5.csv,68.5,53.279798775576
4,YOLOv3_68.7.csv,68.7,51.9825112465697
12,YOLOv3_68.77.csv,68.77,52.5786857243787
,Filename,accuracy,HV
