pred_total_time,pred_average_power
13807.306528900006,3477.4735159154843
11489.328950850007,3549.48496529294
10320.279838670001,3616.5639583627353
9724.757544120008,3668.7000337951117
9357.856004480005,3742.8558186450427
9050.981559570002,3822.516550311121
8859.602446160005,3911.7129271029544
8698.702741309999,4046.7882743304317
12290.20840070054,3510.508987741248
9972.230822650534,3601.1545743881534
8803.181710470537,3686.6552848324977
8207.659415920534,3753.5137657515215
7840.757876280536,3845.9866436037605
7533.883431370536,3945.889440726931
7342.5043179605345,4056.731109612217
7181.604613110531,4223.589874544367
11483.097163629418,3554.217865272454
9165.119585579412,3663.9005488195703
7996.0704733994135,3767.205218140055
7400.548178849412,3847.837207438327
7033.646639209411,3955.8416182807073
6726.77219429941,4072.7428139291683
6535.393080889412,4200.987971966793
6374.493376039408,4392.6148967262725
11031.148649830595,3598.236854717131
8713.171071780596,3725.319168675586
7544.121959600601,3844.33007596735
6948.5996650505995,3936.816407722916
6581.6981254105995,4057.197417581558
6274.823680500599,4187.475375758712
6083.444567090597,4328.857437347912
5922.544862240594,4538.581255517411
10764.652277319974,3649.757655101517
8446.674699269968,3794.988061798483
7277.625587089973,3929.5483170719694
6682.103292539971,4033.3180174165823
6315.201752899971,4164.385572893478
6008.327307989972,4305.916564646992
5816.948194579968,4457.672618620807
5656.0484897299675,4680.9424595228475
10562.544578088473,3736.2882609048525
8244.567000038462,3909.40711673713
7075.517887858467,4066.7158351966164
6479.995593308467,4186.327980036704
6113.0940536684675,4330.912316413987
5806.219608758466,4486.171225894478
5614.840495348464,4649.533672645548
5453.940790498464,4886.737464013218
15038.197678900005,3452.507418773255
12699.576708888215,3513.288382629041
11521.345118645315,3570.2794919262356
10920.425025650766,3614.795019981409
10549.286487525742,3679.5084600818977
10241.713767317027,3749.3439009542685
10050.048106847731,3826.6924806412153
9888.663578878719,3944.347663010898
13160.257347986888,3516.5641996575273
10821.673967669854,3601.7263065930006
9641.195686565645,3680.810513565407
9039.624960907553,3741.9916411703234
8650.876619701015,3828.766455662273
8365.209458788757,3916.4552188568186
8173.388874109448,4015.455342818265
8012.3408191335775,4164.285786496464
12064.236892942115,3583.873094356337
9710.057638000615,3695.960080898497
8517.44794480888,3799.832839254399
7916.821067542467,3878.6077676305035
7545.880983417327,3981.985148235676
7238.81929979213,4093.50109186249
7040.0846028402,4215.809591590669
6886.084708324535,4390.930030585118
11487.57191851151,3627.6241926030134
9137.376342311736,3757.645146091153
7947.575031694009,3877.8452890915482
7335.564476257122,3971.016201581359
6964.681596551393,4087.925834309633
6653.893901939659,4215.709981554977
6466.0814397362565,4347.9441760284735
6304.988048161415,4545.597727760598
11115.890612998157,3693.755247922042
8767.144572274767,3846.651573588569
7577.912361482127,3986.3915418156407
6968.4796034119545,4093.331363605573
6589.513208334842,4226.720850916993
6282.505523409601,4367.14609613303
6090.930492607856,4514.10475769905
5925.553301062376,4733.28133191031
10840.073438941916,3770.7439540489218
8490.499122420602,3949.797356613771
7303.682584779219,4110.7711021845125
6695.107617395809,4232.91899142459
6316.607618439558,4380.174068439068
6002.927501376393,4539.058005244023
5811.386528658047,4698.728927501835
5650.339837908148,4929.2467429975495
10651.780020183485,3855.423019745794
8306.548603620358,4061.1932699030417
7116.980264980657,4245.273470223026
6507.740240137171,4383.617812267896
6129.7883129999955,4544.320179630955
5817.707713371838,4715.680215277575
5620.960775966389,4892.312420169134
5459.400250922158,5137.648903374062
10508.099246261834,3991.66394711694
8161.485464241882,4239.961640645753
6975.60447819955,4456.23293597421
6367.743451131395,4616.374399361349
5989.624219949554,4795.1972950275995
5677.341163656391,4984.07232719399
5481.7954066363445,5172.32490507078
5315.365021116389,5443.277763369028
15438.62552624402,3580.3686890844874
12986.706404984683,3665.6580909693776
11756.835073472004,3738.739784466791
11127.06689871503,3793.661020216112
10755.926419478888,3866.1727042728953
10451.448628739587,3942.4582030242705
10252.81959050743,4026.6159924136095
10090.014876428373,4152.21612922837
13364.65472864103,3643.630753086246
10912.70612302761,3759.32991041244
9682.805891762715,3859.962785475763
9053.013105594877,3935.9036809906697
8681.849142842673,4031.838067369821
8377.3458271688,4133.053754911716
8178.693693213578,4243.215444110595
8015.866672150853,4405.7724922132675
12368.880359886218,3678.706538865774
9916.933119087511,3814.695213841561
8687.033375262525,3934.701672728956
8057.240745083062,4025.869686159692
7686.076725955794,4138.577429101755
7381.573105040417,4257.85037614405
7182.920894534597,4386.735484005117
7020.093638907444,4575.680092281762
11409.403654409198,3767.901187581958
8957.087574165671,3942.681521296317
7726.798250215211,4097.964495506741
7096.6652416275665,4216.023666980872
6725.1699243186595,4355.600214373006
6420.29799446898,4503.350133460759
6221.318745260999,4660.475431376006
6058.170594210487,4887.63280543071
10941.478932091813,3904.8526856562844
8489.138949705633,4128.795563669798
7258.819378239351,4325.6163356599345
6628.658544781613,4473.642691962425
6257.135078508951,4638.966160198941
5952.230485594822,4812.863836653199
5753.223236026207,4993.5096395585015
5590.046787024323,5249.478978870952
