graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime,Unnamed: 16,Power
MobileV1,BBBBBBBBBBBBBB,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",22.7891,128.1929,0.290238,150.982,3752.252702363,4889.82216513929,85.5104620594206,626.840483833484,1.08904631982843,713.439992212733,1.40165958022412,150.982,,4.72533144489233
MobileV1,BBBBBBBBBBBBBB,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",19.2757,110.7063,0.198479,129.982,4076.18924344886,5480.90590583506,78.5714009999472,606.770813483147,0.809037964850486,686.151252447945,1.45740461222267,129.982,,5.27881747048011
MobileV1,BBBBBBBBBBBBBB,BB,"((6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",17.0331,101.1859,0.187454,118.219,4438.64398422091,6162.06713961742,75.6038668476332,623.514309382614,0.832041569418146,699.950217799665,1.42867303212443,118.219,,5.92079291653343
MobileV1,BBBBBBBBBBBBBB,BB,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,))",15.111,95.37,0.166308,110.481,4902.32867132867,7054.61673207253,74.0790885524476,672.798797737757,0.815296476671329,747.693182766876,1.33744699436666,110.481,,6.76761780547674
MobileV1,GGGGGGGGGGGGGG,BB,"((0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7))",12.505,418.345,0.354171,430.85,4616.55555555556,3756.85526618958,57.7300272222222,1571.66161633408,1.63505009766667,1631.02669365397,0.613110750357931,430.85,,3.78560216700469
MobileV1,GGGGGGGGGGGGGG,BB,"((1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7))",12.7346,285.2354,0.468271,297.97,4681.78632478633,4059.0930269624,59.6206761316239,1157.79702318283,2.19234476409402,1219.61004407855,0.819934211640187,297.97,,4.09306320796909
MobileV1,GGGGGGGGGGGGGG,BB,"((2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7))",12.6303,221.2747,0.487754,233.905,4700.91452991453,4347.19133410228,59.3739607871795,961.923458296081,2.29288986562393,1023.59030894888,0.976953368215151,233.905,,4.37609417904226
MobileV1,GGGGGGGGGGGGGG,BB,"((3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7))",12.581,160.518,0.372021,173.099,4834.54700854701,5006.01004482642,60.8234359145299,803.554720375447,1.79855301266667,866.176709302643,1.15449883292879,173.099,,5.00393826251245
MobileV1,GGGGGGGGGGGGGG,BB,"((4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7))",12.5076,134.6444,0.349942,147.152,5109.35683760684,5924.99937322017,63.9057915820513,797.767985607606,1.78797855046581,863.461755740123,1.15812888451885,147.152,,5.86782208695854
MobileV1,GGNNNNNNNNNNNN,BB,"((4, 7), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,))",12.8524,50.4129,0.221784,63.2653,4959.1452991453,4989.07547619312,63.736919042735,251.513763073776,1.09985908102564,316.350541197537,3.16105038485006,32.413,,
MobileV1,NNNNNNNNNNNNNN,BB,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,))",13.7213,16.7917,0.204517,30.513,4769.76923076923,4165.54778554779,65.4474345461538,69.9466287505828,0.975498893769231,136.369562190506,7.33301466938068,30.513,,
MobileV1,BBNNNNNNNNNNNN,BB,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,))",13.7302,56.7923,0.287234,70.5225,4706.2735042735,5014.06328199193,64.6180764683761,284.76018612987,1.3518017637265,350.730064361973,2.85119555353528,37.1979,,
MobileV1,BBLLLLLNNNBNNN,BB,"((7,), (7,), (5,), (5,), (5,), (5,), (5,), (7,), (2,), (7,), (7,), (7,), (7,), (7,))",13.7971,93.29077,0.141312,107.08787,4762.52680652681,5269.43855701104,65.709058602331,491.589980451249,0.673002188083916,557.972041241664,1.79220449428736,39.3522,,
MobileV1,BBNNNNNNNNNNNN,BB,"((7,), (7,), (7,), (1,), (2,), (0,), (2,), (3,), (2,), (3,), (2,), (5,), (7,), (7,))",13.6771,57.687,0.177858,71.3641,4739.78632478632,4986.60767585357,64.826531542735,287.662436996965,0.843008916153846,353.331977455854,2.83019953982213,38.0301,,
MobileV1,NNNNNNNNNNNNNN,BB,"((7,), (4,), (2,), (1,), (2,), (0,), (2,), (3,), (2,), (3,), (2,), (5,), (7,), (7,))",13.6968,16.3864,0.122033,30.0832,4855.76068376068,4155.43446297292,66.5083829333333,68.0926112840595,0.592563043521367,135.193557260914,7.39680218688283,30.0832,,
MobileV1,GGNNNNNNNNNNNN,BB,"((4, 7), (4, 7), (7,), (7,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (7,), (7,))",12.9202,50.8308,0.113458,63.751,4952.99145299145,4887.54934848433,63.9936401709402,248.438043422937,0.561956504273504,312.993640098151,3.1949530977256,33.2243,,
MobileV1,GLLLLNNNNNNNNN,BB,"((4, 7), (5,), (5,), (5,), (5,), (7,), (2,), (3,), (2,), (3,), (2,), (5,), (7,), (7,))",12.5627,65.61529999999999,0.133175,78.178,4914.797008547009,4833.164403361557,61.74312037927351,317.12953227588946,0.6545280916132479,379.5271807467762,2.6348573981772563,41.5155,,
MobileV1,GLLLLLLNNNBNNN,BB,"((4, 7), (5,), (5,), (5,), (5,), (5,), (5,), (7,), (2,), (7,), (7,), (7,), (7,), (7,))",12.5702,93.80481999999999,0.157587,106.37501999999999,4942.24358974359,5085.89052974765,62.12499037179487,477.08104568268294,0.7788333405769231,539.9848693950548,1.8519037415257584,53.2737,,
